№,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
499494,32.08013741643625,2.2128215723305127,0.8288350386873047,1.0,1.0,0.0,1.0,0.0
455967,20.067446747492323,3.9726233706546346,0.5900372130502669,1.0,1.0,0.0,1.0,0.0
369329,5.353926522923743,0.4437413952483791,0.2233776508779986,1.0,0.0,0.0,1.0,0.0
122605,8.008129754649929,2.0404932887595164,5.334059677856343,1.0,1.0,0.0,0.0,0.0
341760,1.334083390081655,0.7251095739667259,1.4136616959574937,0.0,0.0,0.0,1.0,0.0
929176,24.08482872918269,0.7088611494848134,2.7505074343280524,1.0,0.0,0.0,1.0,0.0
927598,8.144122395370822,0.2596803976508355,2.8729950793040926,1.0,0.0,0.0,1.0,0.0
935727,15.831135024721162,0.4384858369081001,0.3602664964465376,1.0,0.0,0.0,1.0,0.0
299250,10.542502943341988,2.030633138773494,2.6291737857474766,1.0,0.0,0.0,1.0,0.0
241252,20.78027185444838,0.1748109846569847,2.901363181618095,1.0,0.0,1.0,0.0,0.0
44039,10.395386073577114,2.8543986548625035,1.2818968346937265,1.0,0.0,0.0,0.0,0.0
603790,2.2486297226313443,63.30797288572239,3.350975013302352,1.0,1.0,0.0,1.0,0.0
485646,12.495254505162018,0.3063141565082714,1.321573165315,1.0,0.0,0.0,1.0,0.0
340969,1.583650790791885,0.0777310198697036,0.8814316541271162,0.0,1.0,0.0,1.0,0.0
490204,8.09234057679094,0.7072027052289965,0.2981370700927175,1.0,0.0,0.0,1.0,0.0
617535,34.98364388227859,1.7762424853485248,0.9206070967856808,1.0,0.0,0.0,0.0,0.0
88565,12.207178254961711,23.478194699597932,0.5046232857787268,1.0,0.0,0.0,1.0,0.0
874472,90.43463507866647,8.932037431129359,0.3563447542150457,1.0,0.0,0.0,0.0,0.0
841083,2.3829167907440683,0.1548531946107351,1.5038135149728262,1.0,1.0,0.0,1.0,0.0
691594,4.048072261505615,2.466173864962427,0.6799089864511711,1.0,1.0,0.0,0.0,0.0
565582,9.006365942352396,0.568868363933159,0.7007146274048854,1.0,1.0,0.0,0.0,0.0
343897,49.93641880639447,24.79951116391915,0.3569540532472284,1.0,1.0,0.0,1.0,0.0
703342,0.3404021555800904,17.985979554240416,0.2068708968534742,0.0,1.0,0.0,0.0,0.0
428550,55.85258341049418,1.9164918090201224,2.948023083302065,1.0,0.0,0.0,0.0,0.0
721170,343.5162933836637,0.1149939704474225,1.7335124506951451,1.0,0.0,1.0,1.0,0.0
115835,214.3789028935653,6.87590946886392,6.745758126396259,1.0,0.0,0.0,1.0,1.0
158893,289.1646254039593,49.183330146893816,0.6035083981206607,1.0,1.0,0.0,0.0,0.0
861186,7.550037914331604,0.0620262675737132,4.240932435878479,1.0,0.0,0.0,0.0,0.0
990976,19.871414463901303,1.8427103827608555,0.5765756042253448,1.0,1.0,0.0,1.0,0.0
970740,30.601551601452485,0.3601497542484447,2.79022174524182,1.0,1.0,0.0,0.0,0.0
373346,1.687168530292097,1.2151746981958995,3.146482583911676,0.0,0.0,0.0,1.0,0.0
151837,8.648936857596844,0.0834330793467615,4.451190448642548,1.0,0.0,0.0,1.0,1.0
158872,12.129202699986484,0.202615756599038,1.8215921705795317,1.0,1.0,0.0,0.0,0.0
562891,15.354031826590662,0.9120341721485916,0.2820400001448409,1.0,0.0,1.0,1.0,0.0
680044,18.311481164868606,1.179119990336695,0.967884830731198,1.0,0.0,0.0,0.0,0.0
948273,2.359816870856721,0.0215551363739015,1.4962944491873351,1.0,0.0,1.0,0.0,0.0
534589,20.67564027506181,2.2626460621008557,1.5203693396669649,1.0,0.0,0.0,1.0,0.0
943162,7.403590259405473,0.8525242363827028,1.5191100918609777,1.0,0.0,0.0,0.0,0.0
526427,14.252631121199856,2.012912139441398,0.2138200507055996,1.0,0.0,0.0,1.0,0.0
132205,84.32849883599829,2.705586555155418,0.3036475315103436,1.0,0.0,0.0,1.0,0.0
14972,19.99226671130516,0.8687917833357638,0.7331922803693887,1.0,1.0,0.0,1.0,0.0
247862,8.919974331106438,2.3712574329921017,0.69330696590672,1.0,0.0,1.0,0.0,0.0
546260,9.618872436148353,5.592868715159529,0.2019076879009483,1.0,0.0,0.0,0.0,0.0
532959,19.17371020908362,0.1701261309001746,0.3157074715047078,1.0,1.0,0.0,1.0,0.0
359925,52.77954089333441,0.1038953015084587,6.24031947167279,1.0,0.0,0.0,0.0,0.0
8415,0.4973772882846569,0.9344553862415234,1.0838449876833114,0.0,1.0,1.0,1.0,0.0
173658,5.792835603918301,7.012087547728755,0.7835516836122062,1.0,0.0,0.0,1.0,0.0
235720,17.779113040398006,1.2306836385912605,1.3596728652163397,1.0,0.0,0.0,0.0,0.0
120334,1.2184517262876016,1.2169177948636878,9.166662915094294,0.0,0.0,0.0,1.0,1.0
870187,3.077344885621159,0.2528826023954654,2.0755031456442,1.0,1.0,0.0,0.0,0.0
370556,77.15208076444637,3.3274480863854445,5.261909404155688,1.0,1.0,0.0,0.0,0.0
857329,36.91120299304696,0.1313755577670035,0.4163506589781475,1.0,0.0,0.0,0.0,0.0
863479,9.247053554349517,37.69938781325854,1.1805912113530508,1.0,0.0,0.0,0.0,0.0
844363,15.239927908025612,2.651358423788821,4.901122379836557,1.0,0.0,0.0,1.0,1.0
794945,0.6092744480471153,0.2351584650936325,1.2566336359759844,0.0,0.0,0.0,1.0,0.0
810625,122.99799324390013,0.1723794068125728,15.099977520815296,1.0,0.0,1.0,1.0,1.0
627083,6.426806321482987,0.2561582302365603,2.921399376024882,1.0,0.0,0.0,0.0,0.0
778001,3.962080125509312,0.0658351099203151,0.6580626712197329,1.0,1.0,0.0,0.0,0.0
623706,48.1033622014489,0.9788585949358976,0.497140378032763,1.0,1.0,0.0,1.0,0.0
315956,0.0882070709941218,0.0740723832496052,0.568092156230416,0.0,0.0,0.0,1.0,0.0
9177,8.802169176470544,0.5144109551239217,0.1782447129190534,1.0,0.0,1.0,0.0,0.0
146575,66.8351236040987,3.1349572515078514,0.4460631033453418,1.0,0.0,1.0,0.0,0.0
342287,7.662911326232116,0.0628875068608798,0.8294645120591178,1.0,0.0,0.0,1.0,0.0
221877,10.456786880694656,2.289880935282083,1.5340508821344407,1.0,0.0,1.0,0.0,0.0
294156,26.90943712623009,11.732240358165042,1.2082939620417104,1.0,0.0,0.0,1.0,0.0
21185,0.6286782601865148,6.984573296049858,0.8101578576050528,0.0,0.0,0.0,0.0,0.0
676968,4.757452149383145,16.052928511178536,0.3949507961758109,1.0,1.0,0.0,0.0,0.0
841020,9.83564561972844,0.0670346025691473,7.319517219985981,1.0,0.0,0.0,0.0,0.0
217994,3.620989741970641,2.193801531007663,1.0449424673681906,1.0,1.0,0.0,0.0,0.0
447634,51.6296277571845,0.5273805112824899,0.1641978292226922,1.0,1.0,0.0,1.0,0.0
887644,0.1949784847739195,5.297035253222825,0.3021730106811682,0.0,1.0,0.0,1.0,0.0
468324,7.012183753648209,1.5671550342433422,1.1662746631413334,1.0,1.0,1.0,1.0,0.0
265954,9.623186158455846,2.617877146333987,1.9551688548642048,1.0,0.0,0.0,0.0,0.0
402171,8.689749543109398,8.516245239086677,0.0618582413711028,1.0,1.0,0.0,0.0,0.0
904852,4.682352372767479,0.4886830887966065,0.6070222996817197,1.0,0.0,0.0,0.0,0.0
920839,12.36413859612998,0.0215253067928003,0.98839765576442,1.0,1.0,0.0,1.0,0.0
715706,74.80746417934097,0.0268268111980037,0.1911114037295991,1.0,0.0,0.0,0.0,0.0
687391,34.814183997910625,4.729670669537984,0.1547288395102721,1.0,0.0,0.0,0.0,0.0
79343,5.715953772379075,0.5835293965482931,0.4599008207320084,1.0,0.0,0.0,1.0,0.0
17478,1.186879886650569,0.0830289825233879,0.2220938441376882,0.0,0.0,0.0,0.0,0.0
789990,61.93116038677586,2.470853253533326,0.505163999935553,1.0,1.0,0.0,1.0,0.0
682572,20.44824074407843,5.364443155651242,0.442622111122639,1.0,0.0,1.0,0.0,0.0
199379,68.25667442084467,0.1156682600308341,3.607018257156284,1.0,1.0,0.0,1.0,0.0
3543,77.83214213956899,1.0616007433165902,0.1865544730995594,1.0,0.0,0.0,1.0,0.0
31913,8.428182134595215,0.0878766820456001,0.4375574021555051,1.0,0.0,0.0,0.0,0.0
775984,2.188813569285509,0.0491821344592624,0.4304725506691054,1.0,1.0,0.0,1.0,0.0
233986,17.396351022596306,1.1168077378061751,0.1487699278505433,1.0,0.0,0.0,1.0,0.0
298236,2.925588620231696,0.6815033226819921,0.8967770147319362,1.0,0.0,0.0,0.0,0.0
22079,3.105051090565519,0.0779713095681087,1.6778293981431498,1.0,0.0,0.0,0.0,0.0
732045,16.26665022514454,0.6069277833116589,1.2386450622437364,1.0,0.0,0.0,0.0,0.0
281782,141.9105585983113,1.4648325391245185,0.5372583125050421,1.0,0.0,1.0,0.0,0.0
37858,17.193836295123756,1.684580152479467,0.6000506557785807,1.0,0.0,0.0,1.0,0.0
447662,15.019088806424469,0.8829853385244821,0.2835128834497532,1.0,1.0,0.0,1.0,0.0
247397,19.1470842780846,0.2431547240258531,2.106079432668344,1.0,1.0,0.0,0.0,0.0
179816,6.861881572334927,19.78508644012856,3.384877186979,1.0,0.0,0.0,1.0,0.0
790266,41.28207592645759,22.382355815519634,7.406483535424113,1.0,0.0,0.0,1.0,1.0
891831,9.131652420483308,1.1107419188135783,3.3400562303474364,1.0,1.0,0.0,0.0,0.0
129928,12.75915288496855,15.67243828284732,0.3864288511266228,1.0,0.0,0.0,1.0,0.0
520397,3.642016522910249,0.4813094191672737,1.2578089475052827,1.0,1.0,0.0,1.0,0.0
866961,17.45373265253258,3.504797754829664,2.150058578532211,1.0,1.0,0.0,1.0,0.0
759465,3.988518884987468,0.3799248459630146,9.76107036425574,1.0,1.0,0.0,1.0,1.0
919758,7.870407468671842,2.537808982249371,1.6490408319181329,1.0,1.0,0.0,1.0,0.0
691632,2.817952071707126,3.561740878409896,1.2743517748438318,1.0,1.0,1.0,1.0,0.0
116834,8.489201272753695,9.144957683847652,1.4470848430373031,1.0,0.0,0.0,1.0,0.0
60691,14.665783384037832,4.391277397923394,0.2421038251994303,1.0,1.0,0.0,1.0,0.0
528361,53.66432069572061,2.1194359440245725,0.2398468092895945,1.0,1.0,0.0,0.0,0.0
567869,18.878082665973203,0.7383883165241797,2.058601451673709,1.0,1.0,0.0,1.0,0.0
223984,2.457876525585251,3.5625748077505746,0.4501000952373044,1.0,0.0,1.0,1.0,0.0
630980,8.01199681951814,2.610349124853185,4.550595381691385,1.0,0.0,0.0,1.0,1.0
448905,3.902856695070072,0.9392896983545502,0.3481339507022769,1.0,1.0,0.0,1.0,0.0
77626,7.0744790448268,0.2263723755067546,5.294648408084437,1.0,0.0,0.0,0.0,0.0
946210,1.0325709840688944,0.5519784158824984,0.7803835485144289,0.0,0.0,0.0,0.0,0.0
851129,4.624633959616987,3.8679692242061408,5.573797421878628,1.0,1.0,0.0,1.0,1.0
973569,2.252323513959988,0.0470805587901992,2.7840060572569048,1.0,0.0,0.0,1.0,0.0
319139,1.9735881431821167,0.6436736832285382,0.0541421165443131,1.0,1.0,1.0,1.0,0.0
204030,4.987007024665923,0.0317401205430689,2.268018143217514,1.0,0.0,1.0,1.0,0.0
540204,12.530860033141874,0.0712813469458426,0.5608722474892854,1.0,0.0,0.0,1.0,0.0
435450,32.88082598103345,3.201716209183649,1.651948306150085,1.0,0.0,0.0,0.0,0.0
309862,25.40709266999197,0.8676127715966141,0.3554928217661134,1.0,0.0,0.0,1.0,0.0
839363,8.461759570470644,8.154566946800436,2.233525313643888,1.0,0.0,0.0,0.0,0.0
987244,1.537174096232813,1.1018390811968604,0.9373161363197292,0.0,0.0,0.0,1.0,0.0
865176,5.726716218717069,2.108026354808517,1.043723731724281,1.0,1.0,0.0,1.0,0.0
888720,4.286521237741605,0.2945014166373902,0.4317073276842205,1.0,0.0,0.0,1.0,0.0
730434,2.499215625005331,6.157569660716065,5.506521163533034,1.0,0.0,1.0,1.0,0.0
254426,25.39756786363652,2.336356997498246,1.3132807493124807,1.0,0.0,0.0,0.0,0.0
305950,725.6878000208616,0.0464585264538267,0.7763315563449205,1.0,1.0,0.0,1.0,0.0
68691,28.410384379496357,1.4912815045180243,4.622022500078757,1.0,0.0,0.0,0.0,0.0
473354,44.17463849248247,1.505079553290168,2.437485217645799,1.0,0.0,1.0,1.0,0.0
355000,11.633660742284611,3.98860579777636,0.759743656182332,1.0,0.0,0.0,1.0,0.0
334438,9.295256069099096,0.0319918036540481,0.7401388625463238,1.0,0.0,0.0,1.0,0.0
691025,13.60945917031162,2.22208788008162,0.4327040221864904,1.0,0.0,0.0,1.0,0.0
67989,169.06242010158056,0.0660175237722527,1.6754662692786708,1.0,0.0,0.0,0.0,0.0
894430,1.495721165160698,10.67557925053288,0.6635098558583336,0.0,0.0,0.0,0.0,0.0
624272,6.606204227607277,0.5085943449291146,0.851707810415463,1.0,0.0,0.0,0.0,0.0
405153,5.118456622009091,1.942198217620514,1.5495470172666068,1.0,0.0,1.0,0.0,0.0
77566,1.8986787546139707,1.096819841612564,2.547744512491924,0.0,0.0,0.0,1.0,0.0
338451,551.4284405017366,4.423911728874137,0.1307042027838913,1.0,1.0,0.0,0.0,0.0
22989,21.759667882270207,0.6033378486777276,4.675154376279207,1.0,1.0,0.0,1.0,1.0
479622,8.509120357435616,0.8391356344260088,0.7268153396976477,1.0,0.0,0.0,0.0,0.0
482857,19.104598396496566,0.0067799585971347,8.970934373779295,1.0,1.0,0.0,1.0,1.0
573151,6.121594528531088,0.3408235751659266,0.2185510446171325,1.0,1.0,0.0,0.0,0.0
47786,8.366633351748591,0.4550046893016898,0.5579532469722746,1.0,1.0,0.0,1.0,0.0
864555,4.666648728783868,0.5093474226155903,0.2941113133925391,1.0,1.0,0.0,0.0,0.0
180935,6.742206461863851,3.675136518865064,1.7359445969352236,1.0,0.0,0.0,1.0,0.0
